Spp_jetz;animal;Imports
Carduelis_atrata;Carduelis_atrata;657
Carduelis_cucullata;Carduelis_cucullata;6766
Carduelis_yarrellii;Carduelis_yarrellii;23
Carpodacus_roborowskii;Carpodacus_roborowskii;50
Casmerodius_albus;Casmerodius_albus;40
Casuarius_casuarius;Casuarius_casuarius;12
Catreus_wallichi;Catreus_wallichi;1172
Cephalopterus_ornatus;Cephalopterus_ornatus;15
Cephalopterus_penduliger;Cephalopterus_penduliger;10
Chalcopsitta_atra;Chalcopsitta_atra;9754
Chalcopsitta_cardinalis;Chalcopsitta_cardinalis;11686
Chalcopsitta_duivenbodei;Chalcopsitta_duivenbodei;9798
Chalcopsitta_sintillata;Chalcopsitta_sintillata;7446
Chalcostigma_olivaceum;Chalcostigma_olivaceum;192
Chalybura_urochrysia;Chalybura_urochrysia;320
Charmosyna_josefinae;Charmosyna_josefinae;2805
Charmosyna_margarethae;Charmosyna_margarethae;270
Charmosyna_meeki;Charmosyna_meeki;20
Charmosyna_multistriata;Charmosyna_multistriata;1376
Charmosyna_palmarum;Charmosyna_palmarum;41
Charmosyna_papou;Charmosyna_papou;13696
Charmosyna_placentis;Charmosyna_placentis;11409
Charmosyna_pulchella;Charmosyna_pulchella;7644
Charmosyna_rubronotata;Charmosyna_rubronotata;1470
Charmosyna_wilhelminae;Charmosyna_wilhelminae;350
Chelictinia_riocourii;Chelictinia_riocourii;10
Chlamydotis_undulata;Chlamydotis_undulata;27971
Chlorestes_notata;Chlorestes_notata;27
Chlorostilbon_lucidus;Chlorostilbon_lucidus;4
Chlorostilbon_poortmani;Chlorostilbon_poortmani;20
Chlorostilbon_swainsonii;Chlorostilbon_swainsonii;10
Chrysolampis_mosquitus;Chrysolampis_mosquitus;22
Chrysolophus_amherstiae;Chrysolophus_amherstiae;43
Chrysolophus_pictus;Chrysolophus_pictus;22
Chrysuronia_oenone;Chrysuronia_oenone;31
Cicinnurus_magnificus;Cicinnurus_magnificus;44
Cicinnurus_regius;Cicinnurus_regius;88
Cicinnurus_respublica;Cicinnurus_respublica;2
Ciconia_boyciana;Ciconia_boyciana;205
Ciconia_nigra;Ciconia_nigra;216
Circaetus_cinerascens;Circaetus_cinerascens;1
Circaetus_cinereus;Circaetus_cinereus;17
Circaetus_fasciolatus;Circaetus_fasciolatus;2
Circaetus_gallicus;Circaetus_gallicus;26
Circaetus_pectoralis;Circaetus_pectoralis;4
Circus_aeruginosus;Circus_aeruginosus;23
Circus_cyaneus;Circus_cyaneus;14
Circus_macrourus;Circus_macrourus;5
Circus_melanoleucos;Circus_melanoleucos;2
Circus_pygargus;Circus_pygargus;8
Circus_spilonotus;Circus_spilonotus;1
Cissa_thalassina;Cissa_thalassina;27
Cnemophilus_loriae;Cnemophilus_loriae;9
Cnemophilus_macgregorii;Cnemophilus_macgregorii;14
Cochoa_azurea;Cochoa_azurea;108
Coeligena_coeligena;Coeligena_coeligena;123
Coeligena_iris;Coeligena_iris;596
Coeligena_torquata;Coeligena_torquata;124
Coeligena_violifer;Coeligena_violifer;61
Colibri_coruscans;Colibri_coruscans;3938
Colibri_delphinae;Colibri_delphinae;22
Colibri_thalassinus;Colibri_thalassinus;45
Colinus_virginianus;Colinus_virginianus;1364
Columba_guinea;Columba_guinea;12567
Columba_iriditorques;Columba_iriditorques;35
