"","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id"
"98","Alcippe morrisonia","Alcippe morrisonia","ALMOR08","","Haemoproteus","Alcippe morrisonia","Alcippe_morrisonia","yes","Alcippe morrisonia","ALMOR08 Alcippe morrisonia"
"99","Alcippe poioicephala","Alcippe poioicephala","ALCPOI02","","Haemoproteus","Alcippe poioicephala",NA,NA,"Alcippe poioicephala","ALCPOI02 Alcippe poioicephala"
"100","Alcippe poioicephala","Alcippe poioicephala","ALCPOI04","","Haemoproteus","Alcippe poioicephala",NA,NA,"Alcippe poioicephala","ALCPOI04 Alcippe poioicephala"
"101","Alethe diademata","Alethe diademata","ALEDIA02","WA19","Plasmodium","Alethe diademata","Alethe_diademata","yes","Alethe diademata","ALEDIA02 Alethe diademata"
"102","Alethe diademata","Alethe diademata","ALEDIA01","P14","Plasmodium","Alethe diademata","Alethe_diademata","yes","Alethe diademata","ALEDIA01 Alethe diademata"
"103","Alethe poliocephala","Alethe poliocephala","GRW09","P46","Plasmodium","Alethe poliocephala","Alethe_poliocephala","yes","Alethe poliocephala","GRW09 Alethe poliocephala"
"104","Alophoixus pallidus","Criniger pallidus","ALBRE01","","Haemoproteus","Criniger pallidus",NA,NA,"Alophoixus pallidus","ALBRE01 Alophoixus pallidus"
"105","Alopochen aegyptiaca","Alopochen aegyptiacus","DENPET03","","Plasmodium","Alopochen aegyptiacus","Alopochen_aegyptiaca","no","Alopochen aegyptiaca","DENPET03 Alopochen aegyptiaca"
"106","Ammodramus humeralis","Ammodramus humeralis","DENPET03","","Plasmodium","Ammodramus humeralis","Ammodramus_humeralis","yes","Ammodramus humeralis","DENPET03 Ammodramus humeralis"
"107","Amphispiza bilineata","Amphispiza bilineata","AMPBIL02","BTSP03","Haemoproteus","Amphispiza bilineata","Amphispiza_bilineata","yes","Amphispiza bilineata","AMPBIL02 Amphispiza bilineata"
"108","Amphispiza bilineata","Amphispiza bilineata","TROAED24","BTSP08","Plasmodium","Amphispiza bilineata","Amphispiza_bilineata","yes","Amphispiza bilineata","TROAED24 Amphispiza bilineata"
"109","Anairetes parulus","Anairetes parulus","TROAED20","","Haemoproteus","Anairetes parulus",NA,NA,"Anairetes parulus","TROAED20 Anairetes parulus"
"110","Anas acuta","Anas acuta","ANACU04","NOPI04","Leucocytozoon","Anas acuta","Anas_acuta","yes","Anas acuta","ANACU04 Anas acuta"
