"","tip","X","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","Species3","Order3"
"46","Acrocephalus schoenobaenus",55,"Acrocephalus schoenobaenus","WW2","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","WW2 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"47","Acrocephalus schoenobaenus",56,"Acrocephalus schoenobaenus","SW5","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW5 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"48","Acrocephalus schoenobaenus",57,"Acrocephalus schoenobaenus","ROBIN1","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","ROBIN1 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"49","Acrocephalus schoenobaenus",58,"Acrocephalus schoenobaenus","SW2","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW2 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"50","Acrocephalus schoenobaenus",59,"Acrocephalus schoenobaenus","SGS1","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SGS1 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"51","Acrocephalus schoenobaenus",60,"Acrocephalus schoenobaenus","SW3","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW3 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"52","Acrocephalus scirpaceus",61,"Acrocephalus scirpaceus","SGS1","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","SGS1 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"53","Acrocephalus scirpaceus",62,"Acrocephalus scirpaceus","SW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","SW1 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"54","Acrocephalus scirpaceus",63,"Acrocephalus scirpaceus","WW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","WW1 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"55","Acrocephalus scirpaceus",64,"Acrocephalus scirpaceus","GRW04","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","GRW04 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
