"","tip","cites"
"628","Zoothera camaronensis",0
"629","Zoothera citrina",1
"630","Zoothera dauma",0
"631","Zoothera naevia",0
"632","Zosterops borbonicus",7
"633","Zosterops flavifrons",0
"634","Zosterops japonicus",8
"635","Zosterops lateralis",32
"636","Zosterops maderaspatanus",0
"637","Zosterops mouroniensis",0
"638","Zosterops pallidus",0
"639","Zosterops palpebrosus",1
"640","Zosterops senegalensis",0
