"","X","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","genus"
"75",2043,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP16","PlasH12","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP16 Zonotrichia capensis","Zonotrichia"
"76",2044,"Zonotrichia capensis","Zonotrichia capensis","GRW04","PlasH11","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","GRW04 Zonotrichia capensis","Zonotrichia"
"77",2045,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP17","HaemH17","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP17 Zonotrichia capensis","Zonotrichia"
"78",2046,"Zonotrichia capensis","Zonotrichia capensis","TROAED01","LEPAFF01","Leucocytozoon","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","TROAED01 Zonotrichia capensis","Zonotrichia"
"79",2047,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP14","ZOCAP10","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP14 Zonotrichia capensis","Zonotrichia"
"80",2048,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP08","Haemoproteus sp. ZC1","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP08 Zonotrichia capensis","Zonotrichia"
"81",2049,"Zonotrichia capensis","Zonotrichia capensis","PADOM17","FURLEU01","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","PADOM17 Zonotrichia capensis","Zonotrichia"
"82",2050,"Zonotrichia capensis","Zonotrichia capensis","CONCIN02","","Leucocytozoon","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","CONCIN02 Zonotrichia capensis","Zonotrichia"
"83",2051,"Zonotrichia capensis","Zonotrichia capensis","VOLJAC02","","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","VOLJAC02 Zonotrichia capensis","Zonotrichia"
"84",2052,"Zonotrichia capensis","Zonotrichia capensis","CNERUB01","","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","CNERUB01 Zonotrichia capensis","Zonotrichia"
"85",2053,"Zonotrichia capensis","Zonotrichia capensis","TRMEL02","TRMEL02","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","TRMEL02 Zonotrichia capensis","Zonotrichia"
"86",2054,"Zonotrichia capensis","Zonotrichia capensis","DENPET03","23","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","DENPET03 Zonotrichia capensis","Zonotrichia"
"87",2055,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP03","ChP6","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP03 Zonotrichia capensis","Zonotrichia"
"88",2056,"Zonotrichia capensis","Zonotrichia capensis","ELAALB01","H10","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ELAALB01 Zonotrichia capensis","Zonotrichia"
"89",2057,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP21","HaemH28","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP21 Zonotrichia capensis","Zonotrichia"
"90",2058,"Zonotrichia capensis","Zonotrichia capensis","PADOM09","","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","PADOM09 Zonotrichia capensis","Zonotrichia"
"91",2059,"Zonotrichia capensis","Zonotrichia capensis","CURCUR01","H22","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","CURCUR01 Zonotrichia capensis","Zonotrichia"
"92",2060,"Zonotrichia capensis","Zonotrichia capensis","TROAED02","","Leucocytozoon","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","TROAED02 Zonotrichia capensis","Zonotrichia"
"93",2061,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP19","HaemH20","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP19 Zonotrichia capensis","Zonotrichia"
"94",2062,"Zonotrichia capensis","Zonotrichia capensis","ZOCAP01","ChH4","Haemoproteus","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZOCAP01 Zonotrichia capensis","Zonotrichia"
"95",2063,"Zonotrichia leucophrys","Zonotrichia leucophrys","CNEORN01","L Co1,L smokies","Leucocytozoon","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","CNEORN01 Zonotrichia leucophrys","Zonotrichia"
"96",2064,"Zonotrichia leucophrys","Zonotrichia leucophrys","CB1","","Leucocytozoon","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","CB1 Zonotrichia leucophrys","Zonotrichia"
"97",2065,"Zonotrichia leucophrys","Zonotrichia leucophrys","DUNNO01","H.AK05,H.AK09","Haemoproteus","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","DUNNO01 Zonotrichia leucophrys","Zonotrichia"
"98",2066,"Zonotrichia leucophrys","Zonotrichia leucophrys","CATUST10","MD.2011.SWTH.CA.LIN.5H","Haemoproteus","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","CATUST10 Zonotrichia leucophrys","Zonotrichia"
"99",2067,"Zonotrichia leucophrys","Zonotrichia leucophrys","PERCAN01","","Leucocytozoon","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","PERCAN01 Zonotrichia leucophrys","Zonotrichia"
"100",2068,"Zonotrichia leucophrys","Zonotrichia leucophrys","ZOLEU02","L.fringillinarum","Leucocytozoon","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","ZOLEU02 Zonotrichia leucophrys","Zonotrichia"
"101",2069,"Zonotrichia leucophrys","Zonotrichia leucophrys","BT7","P43,AMR.KGM64,P.AK01","Plasmodium","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","BT7 Zonotrichia leucophrys","Zonotrichia"
"102",2070,"Zonotrichia leucophrys","Zonotrichia leucophrys","SPIARB01","H.AK06","Haemoproteus","Zonotrichia leucophrys","Zonotrichia_leucophrys","yes","Zonotrichia leucophrys","SPIARB01 Zonotrichia leucophrys","Zonotrichia"
