"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"756","GALLUS25","GALLUSM17","Leucocytozoon"
"757","GALLUS02","","Plasmodium"
"758","FALTIN12","GALLUSM02","Leucocytozoon"
"759","GARDEL01","","Haemoproteus"
"760","SHOALB02","","Haemoproteus"
"762","GAGLA05","H181","Haemoproteus"
"763","GAGLA02","","Haemoproteus"
"764","GAGLA06","H256","Leucocytozoon"
"765","CIRCUM05","H258","Haemoproteus"
"768","TABI08","P1","Plasmodium"
"772","APSPI03","P12","Plasmodium"
"775","SEINOV01","P4-A,P4-B","Plasmodium"
"778","PACYA01","P13","Plasmodium"
"780","GEOFRE01","","Haemoproteus"
"782","GEOTRY01","","Haemoproteus"
"783","GLSJO01","","Haemoproteus"
"787","GRACAR01","GRACAR02","Leucocytozoon"
"788","GRAGUA01","","Plasmodium"
"789","GRUAME01","W06,W18,W23,W51","Haemoproteus"
"792","MYRMAX01","","Plasmodium"
"795","MYNA02","CRATOR01","Plasmodium"
"796","CHRKLA02","","Leucocytozoon"
"798","TACRUB04","HABRUB02","Plasmodium"
"799","HALMAL01","","Haemoproteus"
"801","AFR151","","Haemoproteus"
"807","SYBOR11","","Plasmodium"
"809","TANNIG01","","Leucocytozoon"
"811","THRCYA01","","Leucocytozoon"
"814","HETALB03","AP39","Haemoproteus"
"815","HETALB01","AP14","Haemoproteus"
"816","HETALB02","AP38","Haemoproteus"
"817","TURDUS2","","Haemoproteus"
"818","HIICT5","","Haemoproteus"
"819","HIICT2","","Haemoproteus"
"820","HIICT3","","Haemoproteus"
"821","HIPOL1","","Haemoproteus"
"823","HIICT4","","Haemoproteus"
"826","HIP2","","Haemoproteus"
"828","HIPOL2","","Haemoproteus"
"834","HIRUS10","","Leucocytozoon"
"835","HIRUS04","","Haemoproteus"
"836","HIRUS08","","Leucocytozoon"
"837","SYBOR21","","Plasmodium"
"838","HIRUS06","","Plasmodium"
"839","HIRUS09","","Leucocytozoon"
"841","HIRUS03","","Haemoproteus"
"843","HIRUS01","","Haemoproteus"
"844","HIRUS05","","Haemoproteus"
"845","HIRUS11","","Leucocytozoon"
"851","CATFUS18","CATFUS04","Leucocytozoon"
"854","CYCYA01","","Plasmodium"
"855","MYRMYO01","","Plasmodium"
"857","SATEC01","X","Leucocytozoon"
"858","HYBOR01","Y","Leucocytozoon"
"859","HYBOR02","B2","Leucocytozoon"
"860","HYPLEU02","","Haemoproteus"
"861","HYPHI07","","Haemoproteus"
"863","ZOSMAD01","MDG_H02,MDG_H04","Haemoproteus"
"867","HYPMA04","HYPMA02_MDG_P15","Plasmodium"
"870","HYPMA01","","Plasmodium"
"871","PHICAS01","","Leucocytozoon"
"872","HYPMA03","MDG_L17","Leucocytozoon"
"874","BUL2","H_3A,H_3B,H_3C","Haemoproteus"
"876","ICTVIR01","P8","Plasmodium"
"880","CXPIP23","","Plasmodium"
"881","CXPIP12","","Plasmodium"
"884","HYPHI17","H17","Haemoproteus"
"885","HYPHI03","H3","Haemoproteus"
"886","HYPHI15","H15","Haemoproteus"
"887","HYPHI16","H16","Haemoproteus"
"888","SPIPAS07","","Leucocytozoon"
"891","JUHYE18","","Leucocytozoon"
"892","JUHYE19","","Leucocytozoon"
"893","ZOLEU02","L.AK18","Leucocytozoon"
"894","JUHYE12","","Haemoproteus"
"896","CATUST10","DEJU_CA_ELW_2H","Haemoproteus"
"900","GYMSAL01","","Haemoproteus"
"902","JUHYE03","H.AK08","Haemoproteus"
"906","SETCOR06","","Leucocytozoon"
"910","LAGLAG03","","Leucocytozoon"
"912","AFR006","","Plasmodium"
"914","LZFUS01","","Plasmodium"
"915","RBS5","H_20","Haemoproteus"
"916","RBS1","","Haemoproteus"
